feature,importance_shap
T0_S48_lag_4,0.022316895
T2_S36_rolling_std_6,0.022170343
T0_S55_lag_15,0.022168878
T2_S61_lag_3,0.022134658
T0_S28_lag_9,0.022039106
T0_S52_lag_6,0.021988811
T2_S32_rolling_std_6,0.021924818
T0_S76_lag_16,0.021906395
T0_S61_lag_5,0.021744926
T4_S39_lag_22,0.021669531
T0_S44_lag_18,0.021640724
T0_S37_lag_8,0.0216187
T0_S38_lag_14,0.02158532
T2_S29_rolling_std_6,0.021484083
T2_S30_lag_19,0.02143764
T2_S38_lag_6,0.021372791
T0_S35_lag_13,0.021354489
T0_S32_lag_8,0.021120986
T1_S15_lag_10,0.02089213
T2_S20_lag_3,0.020836364
T2_S9_lag_8,0.020769935
T0_S2_lag_10,0.02074298
T0_S1_lag_8,0.02068885
T0_S30_lag_9,0.02058191
T2_S5_lag_3,0.020564025
T0_S43_lag_5,0.020546902
T2_S24_rolling_std_6,0.02036055
T0_S44_lag_11,0.020225262
T0_S13_lag_15,0.020148376
T2_S1_lag_24,0.019899229
T0_S21_lag_17,0.019812845
T2_S41_rolling_mean_6,0.019795405
T2_S41_lag_3,0.019769832
T2_S30_lag_21,0.019696081
T4_S2_lag_24,0.019672636
T0_S13_lag_4,0.019625114
T0_S81_lag_12,0.01941331
T1_S42_lag_10,0.019401416
T0_S64_lag_14,0.019387126
T0_S35_lag_10,0.019319927
T0_S46_lag_14,0.019275721
T4_S137_lag_21,0.019120228
T4_S123_lag_16,0.019119613
T2_S9_lag_7,0.019096486
T0_S38_lag_13,0.019095516
T2_S2_lag_17,0.019081254
T1_S59_rolling_std_6,0.01907396
T0_S20_lag_16,0.019027764
T1_S31_lag_24,0.018976258
T0_S0_lag_4,0.018617261
T0_S23_rolling_mean_24,0.018598998
T0_S1_lag_6,0.018495034
T0_S10_rolling_mean_24,0.018345457
T2_S52_lag_5,0.018298328
T0_S19_lag_15,0.018223792
T2_S41_lag_5,0.018221043
T0_S65_lag_11,0.01817325
T0_S82_lag_12,0.018167658
T0_S44_lag_12,0.018164854
T0_S54_lag_20,0.018105624
T1_S75_lag_10,0.018031105
T0_S9_lag_13,0.018014574
T2_S36_lag_1,0.017999578
T1_S53_lag_24,0.017921021
