feature,importance_shap
T0_S31_lag_6,0.021158535
T3_S52_lag_118,0.021113815
T0_S41_lag_10,0.021061148
T2_S5_rolling_mean_6,0.02103077
T2_S8_lag_1,0.021018775
T0_S32_lag_9,0.02099756
T0_S17_lag_4,0.020990405
T1_S38_lag_1,0.02095872
T0_S40_rolling_std_6,0.020883597
T0_S29_lag_10,0.02087933
T3_S40_lag_168,0.020866746
T0_S11_lag_10,0.020831246
T0_S52_lag_7,0.020771135
T0_S21_lag_9,0.020764356
T3_S75_lag_64,0.020734563
T1_S1_lag_168,0.020414585
T4_S38_lag_52,0.020371987
T0_S72_lag_12,0.020315103
T2_S14_lag_39,0.020298056
T0_S50_lag_4,0.020255284
T2_S13_lag_167,0.020140793
T4_S0_lag_14,0.020108111
T3_S31_rolling_std_6,0.020075824
T1_S75_lag_168,0.020051822
T1_S36_lag_168,0.019958923
T2_S25_lag_112,0.01991131
T4_S93_lag_168,0.019888487
T4_S100_lag_1,0.019865682
T2_S5_lag_39,0.019839559
T0_S59_lag_9,0.019837743
T0_S47_rolling_mean_24,0.019818319
T2_S55_rolling_std_6,0.019637415
T2_S53_lag_168,0.019576732
T4_S131_lag_168,0.019498805
T2_S50_lag_115,0.019474948
T3_S71_lag_168,0.01945933
T2_S6_lag_39,0.019448847
T2_S48_lag_168,0.01942731
T5_S46_lag_11,0.01938108
T2_S35_lag_156,0.019357692
T5_S33_lag_52,0.019315833
T0_S0_lag_11,0.019225448
T2_S62_lag_159,0.019133048
T0_S58_lag_9,0.01910297
T5_S27_lag_52,0.019099811
T5_S79_lag_52,0.019062314
T0_S13_lag_7,0.019048432
T4_S10_lag_158,0.019027583
T3_S17_lag_43,0.019014012
T2_S7_lag_167,0.01892878
T1_S55_lag_1,0.018913817
T3_S39_lag_1,0.01887681
T5_S15_lag_15,0.018875537
T0_S20_lag_10,0.0188564
T0_S26_lag_9,0.018835433
T5_S80_lag_35,0.018790303
T2_S2_lag_1,0.018718539
T1_S21_lag_1,0.018716209
T0_S35_lag_6,0.018674938
T0_S20_lag_9,0.018590402
T5_S25_lag_52,0.018583916
T0_S15_lag_5,0.018566955
T4_S125_lag_10,0.018527828
T4_S18_lag_168,0.018442571
T2_S32_lag_1,0.018420156
T5_S1_lag_12,0.018405907
T3_S33_lag_62,0.018347412
T5_S31_lag_10,0.018341916
T0_S37_lag_84,0.01829629
T0_S50_lag_11,0.018266171
T5_S64_lag_28,0.018224401
T2_S49_lag_167,0.01814853
T5_S29_lag_113,0.018128179
T2_S30_lag_168,0.017988432
T5_S9_lag_9,0.01795747
T2_S22_lag_167,0.017923629
T1_S14_lag_8,0.01786483
T4_S121_lag_168,0.017832637
T5_S60_lag_11,0.017828884
T5_S40_lag_52,0.017725298
T4_S12_lag_15,0.017719638
T0_S50_lag_9,0.017715054
T5_S19_lag_71,0.017671393
T2_S14_lag_2,0.017668154
T0_S63_lag_6,0.017667025
T1_S62_lag_1,0.017613888
T0_S72_lag_124,0.017586838
T3_S16_lag_168,0.017578712
T1_S6_lag_168,0.017571194
T3_S34_lag_168,0.017565276
T0_S14_lag_1,0.017538717
T5_S23_lag_52,0.017526021
T1_S58_rolling_std_6,0.017495433
T0_S0_lag_6,0.017489111
T0_S67_lag_1,0.017472494
T2_S50_lag_168,0.017438598
T2_S37_lag_156,0.017356325
T5_S9_lag_28,0.017346712
T2_S45_lag_1,0.017338488
T0_S27_lag_12,0.017326439
T3_S11_rolling_std_6,0.017306633
T5_S9_lag_71,0.017299576
T2_S58_lag_1,0.017277589
T3_S13_lag_168,0.017251603
T1_S6_lag_44,0.017218212
T3_S57_rolling_std_6,0.017208228
T4_S5_lag_1,0.01719533
T5_S49_rolling_std_6,0.017180234
T0_S0_lag_2,0.017148081
T2_S16_lag_1,0.017103827
T3_S11_lag_168,0.01704927
T2_S3_rolling_std_6,0.016994212
T5_S21_lag_168,0.016950624
T5_S45_rolling_std_6,0.016898645
T5_S3_lag_130,0.016888466
T4_S125_lag_9,0.016887667
T1_S61_lag_102,0.016862275
T0_S37_lag_11,0.016851772
T0_S12_lag_8,0.01680859
T3_S47_lag_11,0.016805667
T5_S72_lag_52,0.016783807
T0_S44_lag_48,0.016751492
T0_S68_lag_8,0.016600974
T4_S38_lag_90,0.0165654
T0_S16_lag_11,0.016547527
T2_S18_lag_45,0.016541071
T3_S1_lag_168,0.016538832
T0_S70_lag_11,0.016518073
T2_S36_lag_168,0.016518017
T5_S64_lag_131,0.016502447
T0_S8_lag_12,0.016442277
T0_S68_lag_11,0.016421588
T0_S13_lag_1,0.01636685
T5_S27_lag_28,0.01636653
T2_S52_lag_168,0.016347652
T4_S132_lag_168,0.016339753
T5_S29_lag_11,0.016329886
T0_S45_lag_9,0.016319744
T0_S52_lag_10,0.01630517
T4_S120_lag_72,0.016304458
T5_S58_lag_1,0.016297348
T5_S38_lag_35,0.016271891
T1_S75_lag_114,0.016263913
T5_S68_lag_28,0.016217627
T0_S56_lag_7,0.016205015
T5_S68_lag_41,0.016187722
T0_S67_lag_126,0.016140481
T1_S16_rolling_mean_24,0.016125442
T4_S113_lag_11,0.01609383
T0_S29_lag_8,0.016081495
T0_S3_lag_1,0.016074726
T3_S57_lag_1,0.016028883
T1_S2_rolling_mean_6,0.016001686
T0_S30_lag_6,0.015953813
T0_S45_lag_127,0.01593572
T1_S12_lag_1,0.015911784
T1_S14_lag_54,0.015894301
T4_S109_lag_12,0.01589188
T1_S41_lag_1,0.015848635
T2_S57_rolling_std_6,0.015836092
T0_S36_lag_9,0.015758686
T4_S69_lag_1,0.015729647
T0_S50_lag_10,0.015710419
T1_S9_lag_21,0.015575491
T2_S31_lag_160,0.015557187
T3_S17_lag_2,0.015527284
T4_S51_lag_10,0.015519675
T0_S81_lag_1,0.015497064
T2_S5_lag_2,0.015488122
T5_S7_lag_94,0.015445518
T4_S46_lag_101,0.015388868
T5_S55_lag_168,0.015373066
T3_S11_rolling_mean_6,0.015370541
T2_S27_lag_1,0.015366441
T2_S49_lag_48,0.015286072
T2_S56_lag_3,0.015250397
T4_S2_lag_71,0.015180846
T2_S52_lag_167,0.015160272
T2_S16_lag_34,0.015109442
T5_S6_lag_53,0.015074845
T0_S43_lag_11,0.015047287
T0_S40_lag_9,0.015031403
T0_S73_lag_11,0.0150225535
T0_S48_lag_1,0.015021914
T4_S18_lag_11,0.0150149055
T5_S70_lag_38,0.015009879
T2_S14_lag_167,0.015005186
T5_S45_lag_53,0.014969913
T0_S71_lag_8,0.014956416
T1_S5_lag_168,0.014939828
T5_S32_lag_52,0.014842269
T3_S72_lag_1,0.014816023
T0_S1_lag_10,0.014803076
T2_S48_rolling_std_6,0.014744496
T0_S72_lag_9,0.014744427
T1_S38_rolling_std_6,0.014738992
T4_S38_lag_10,0.014705563
T0_S8_lag_10,0.014692417
T2_S46_lag_1,0.014681963
T0_S49_lag_10,0.014651236
T0_S48_lag_9,0.01464402
T0_S39_lag_9,0.014586725
T5_S64_lag_31,0.014577066
T0_S68_lag_168,0.014491665
T2_S52_lag_1,0.014472691
T1_S54_lag_168,0.014465564
T0_S15_lag_8,0.014458207
T1_S61_lag_8,0.014372011
T4_S119_lag_168,0.014279462
T2_S49_rolling_std_6,0.014270561
T2_S13_lag_1,0.014243535
T3_S78_lag_120,0.0142162815
T4_S112_lag_168,0.014213045
T3_S77_rolling_std_6,0.014196876
T3_S23_rolling_std_6,0.014186348
T0_S65_lag_11,0.014173158
T4_S38_lag_87,0.014146774
T5_S32_lag_28,0.014144505
T4_S110_rolling_mean_24,0.014119877
T2_S17_lag_168,0.014104392
T0_S15_lag_11,0.014091899
