feature,importance_gain
f16482,22.208589553833008
f29223,22.194061279296875
f62367,22.1671085357666
f50418,22.158493041992188
f132,22.14211654663086
f77520,22.065196990966797
f1641,21.998449325561523
f30840,21.892606735229492
f24182,21.85335350036621
f86212,21.845705032348633
f71244,21.428192138671875
f11887,21.317541122436523
f87270,21.28823471069336
f61831,21.276159286499023
f86241,21.22213363647461
f23319,21.215848922729492
f87416,21.18798065185547
f79851,21.00701141357422
f2472,20.91895294189453
f14448,20.87317657470703
f69536,20.861331939697266
f22677,20.80147933959961
f29010,20.701034545898438
f58794,20.117843627929688
f80238,20.0828914642334
f72237,20.06850242614746
f1621,20.026222229003906
f53600,19.952102661132812
f12581,19.827335357666016
f77377,19.767375946044922
f14952,19.684696197509766
f57789,19.63878631591797
f270,19.63395881652832
f88439,19.613916397094727
f34028,19.581836700439453
f47751,19.572383880615234
f32537,19.51611328125
f32874,19.487903594970703
f34195,19.409713745117188
f31869,19.299909591674805
f19512,19.2906494140625
f50938,19.150535583496094
f86235,19.100406646728516
f57643,19.044578552246094
f60663,19.01422882080078
f83046,19.009199142456055
f72568,18.879331588745117
f31167,18.80051612854004
f71916,18.72043800354004
f39011,18.691205978393555
f60825,18.55484962463379
f61286,18.446483612060547
f69904,18.38066864013672
f26082,18.35574722290039
f73625,18.295440673828125
f2109,18.25457763671875
f77664,18.247493743896484
f2303,18.14086151123047
f89946,17.8156681060791
f16308,17.725297927856445
f71897,17.701496124267578
f86236,17.69748306274414
f39714,17.67863655090332
f2300,17.592071533203125
f62648,17.519432067871094
f39237,17.5015811920166
f64651,17.40167999267578
f85727,17.3638858795166
f21669,17.30746841430664
f19514,17.129737854003906
f53942,17.11052131652832
f23497,17.09505844116211
f47575,17.04649543762207
f23492,16.93785858154297
f87915,16.88196563720703
f2614,16.696487426757812
f15620,16.569122314453125
f86452,16.483110427856445
f82225,16.3449764251709
f70406,16.329437255859375
f14278,16.268383026123047
f85877,16.265548706054688
f8,16.247684478759766
f21405,16.139846801757812
f774,16.125267028808594
f29508,16.120891571044922
f934,16.116230010986328
f76339,16.021026611328125
f39378,16.019311904907227
f17158,16.012418746948242
f44224,15.99535846710205
f79853,15.969526290893555
f456,15.958404541015625
f12529,15.898828506469727
f59630,15.843476295471191
f58194,15.716900825500488
f89896,15.698663711547852
f1586,15.605749130249023
f134,15.589141845703125
f6853,15.539285659790039
f6509,15.450786590576172
f2998,15.418449401855469
f15624,15.31292724609375
f40746,15.268545150756836
f77195,15.11291790008545
f44893,15.065715789794922
f48428,14.969402313232422
f5,14.964153289794922
f84248,14.772305488586426
f30184,14.746050834655762
f80070,14.647674560546875
f59315,14.608437538146973
f289,14.537147521972656
f80218,14.329778671264648
f43889,14.313112258911133
f89452,14.216429710388184
f35106,13.923796653747559
f46744,13.866972923278809
f84224,13.852092742919922
f49263,13.845314025878906
f46599,13.828949928283691
f57952,13.818325996398926
f73265,13.782853126525879
f11718,13.73317813873291
f74429,13.653194427490234
f14283,13.547454833984375
f23516,13.505735397338867
f23523,13.392563819885254
f9350,13.37051010131836
f8020,13.274857521057129
f58172,13.232392311096191
f90731,13.163993835449219
f53415,13.14089298248291
f146,12.976028442382812
f105,12.82956314086914
f19166,12.798986434936523
f118,12.75044059753418
f9361,12.680074691772461
f58650,12.617049217224121
f59295,12.598024368286133
f1466,12.57440185546875
f7346,12.552003860473633
f50124,12.536299705505371
f7036,12.500129699707031
f30854,12.314155578613281
f84748,12.264842987060547
f3766,12.112014770507812
f11740,12.077061653137207
f153,11.952886581420898
f29340,11.89077377319336
f72921,11.804770469665527
f8860,11.801763534545898
f54281,11.734848022460938
f62344,11.636085510253906
f316,11.633783340454102
f314,11.566650390625
f46437,11.374844551086426
f2334,11.333517074584961
f72,11.304428100585938
f74,11.161869049072266
f68411,11.1365385055542
f85941,11.120922088623047
f27138,11.084327697753906
f43931,11.071808815002441
