,RMSE,MAE,MAPE,R2,Median_AE,RMSE_norm
T1_S33_XGBoost,15.652345653224533,5.404834159186476,126.53485451586207,0.97867219841503,0.016237590461969376,0.4012437435932223
T1_S33_LSTM,112.4931893376217,40.693174809360045,500.0,-0.10163998729606183,0.4697265625,2.8837331744759798
T1_S14_SARIMA,153.48192973348583,73.38885625084708,500.0,-1.217502254069886,1.4633696981029661e-08,4.198654884059003
T1_S14_XGBoost,15.727931679133585,5.214362579662994,114.10684730541693,0.9767141124462718,0.020194239914417267,0.43025362839396947
T1_S14_LSTM,106.65058645614293,37.85530871523624,500.0,-0.0707203671593104,0.721923828125,2.9175356766064
T2_S55_SARIMA,152.86569086427292,83.29211827589536,500.0,-0.7855036808207903,0.0019568541927497433,2.7346511504387476
T2_S55_XGBoost,14.536698426854112,6.0251423042182894,55.87417999261035,0.9838537279885882,0.056158557534217834,0.2600504982630381
T2_S55_LSTM,97.68564688211531,40.07596511475778,500.0,0.270874618669391,2.5322265625,1.7475220575473402
T2_S23_SARIMA,269.6969755859628,146.6154284476041,500.0,-0.8315227924250475,0.0019469427978835653,2.80542842411943
T2_S23_XGBoost,20.996676947421534,7.916167463280114,38.63406346945732,0.9888990203204182,0.008022820577025414,0.2184105854074525
T2_S23_LSTM,165.02144767870925,68.00022953891298,500.0,0.31428924600140173,4.53125,1.7165778700385406
T0_S71_SARIMA,256.37831653040536,168.3026392405065,500.0,-1.2466357119769942,53.099251670503264,3.4083753040381324
T0_S71_XGBoost,23.897219851463788,7.994496672495567,38.14460315992389,0.9804806732932372,0.010369881987571716,0.3176972806404994
T0_S71_LSTM,149.05837350343313,57.77186007705031,500.0,0.24057860011878374,2.5859375,1.981629671278933
T1_S8_SARIMA,158.6720925599315,78.11105710631546,500.0,-0.8371738502517421,0.0001289388235207989,3.6696323276473377
T1_S8_XGBoost,25.66530482294791,8.031868772243671,101.47766177023773,0.95193355420003,0.004807075019925833,0.5935651995113099
T1_S8_LSTM,109.73206667790916,43.708857194088296,500.0,0.12134927007714902,1.728515625,2.537789303488987
T2_S7_SARIMA,222.81796536245548,123.11402112063568,500.0,-0.7096256571637378,0.0018970369806049232,2.6597912305850078
T2_S7_XGBoost,26.43157590267743,10.189043914641891,36.501212323737526,0.9759427083488947,0.017769495025277138,0.3155152847847039
T2_S7_LSTM,136.6339195943879,57.806917473459926,500.0,0.35713812215424867,4.095703125,1.631007179095467
T2_S49_SARIMA,162.29788353467612,81.30991242992187,500.0,-1.254547220678003,8.472264952747981e-05,3.5152347436316744
T2_S49_XGBoost,34.3774904758288,11.69094687914888,61.09973855351684,0.8988462555321816,0.02957384940236807,0.7445873371089339
T2_S49_LSTM,108.90667869329808,45.92806729403409,500.0,-0.015179058497410747,2.4853515625,2.3588264518213378
T1_S75_SARIMA,177.85625891684822,87.84865335256163,500.0,-1.3343695874884558,2.4711094045121887e-06,4.1451862964633
T1_S75_XGBoost,14.791254620478202,5.383767293278199,145.35668746805757,0.9838548777832501,0.02970620058476925,0.34473066246699074
T1_S75_LSTM,125.70155147932685,45.89480517811752,500.0,-0.16603768513991635,1.275390625,2.9296486489119693
T2_S11_SARIMA,188.48462974653725,99.94238471629532,500.0,-0.9938876827574707,0.00022906657820333503,3.0694473754840375
T2_S11_XGBoost,20.344368444774673,7.6423236548735725,51.70310666622442,0.9767706405720284,0.13971826434135437,0.33130536114625075
T2_S11_LSTM,121.50852343937431,50.31892416922099,500.0,0.17136686499713805,3.40625,1.9787503037858716
T2_S0_SARIMA,243.02802052054838,133.35832748173604,500.0,-0.7320174192640831,0.0012634388835092835,2.6826976675595393
T2_S0_XGBoost,25.598388674345607,9.336691171711236,38.62847914173446,0.9807839192871629,0.0033755144104361534,0.28257127487956935
T2_S0_LSTM,155.27260355716842,63.71072358491888,500.0,0.2929840250789173,3.9619140625,1.7139976308348892
T3_S46_SARIMA,203.382372874814,106.73437012221797,500.0,-1.342187319179586,11.995554273493653,4.231017362339889
T3_S46_XGBoost,20.588351692567645,7.17935423164976,112.15377675756753,0.9759985122828022,0.056115757673978806,0.4283049324379322
T3_S46_LSTM,154.703597707859,64.5984499990655,500.0,-0.35517640796554906,0.67431640625,3.2183399114990556
T1_S63_SARIMA,157.23985624888894,78.0936518742568,500.0,-1.3672293986813968,7.278602448593879e-09,4.170712603075147
T1_S63_XGBoost,12.358894265172758,4.553850156693991,119.86274090716067,0.9853757264209855,0.008631711825728416,0.3278138081622254
T1_S63_LSTM,109.16715547587161,40.30083352412904,500.0,-0.14103524115812638,0.726806640625,2.895607017500685
T0_S76_SARIMA,153.46406029934482,88.25966575772762,500.0,-1.0933470688469766,10.240586457585284,3.218341220398937
T0_S76_XGBoost,12.644446514235206,4.421647026338927,32.315154231025495,0.9857889058333675,0.060484595596790314,0.26517051188737867
T0_S76_LSTM,91.56628561044799,35.62966407885392,500.0,0.2547550109923752,3.4765625,1.92026426776475
T4_S29_SARIMA,166.0171552821327,74.67951712233207,500.0,-0.5268865645990128,2.09384224147082,3.350481407290045
T4_S29_XGBoost,35.71905597447033,10.44814491255708,142.37074579079172,0.9293193096842313,0.056094758212566376,0.7208654595064921
T4_S29_LSTM,126.06364971512863,49.714051753139955,500.0,0.11959887139087366,1.359375,2.544158245501034
T3_S43_SARIMA,169.23031752883261,92.73435754310319,500.0,-1.4525020075209096,18.084158782264616,4.3622516481789395
T3_S43_XGBoost,17.630560361134346,5.572505453849907,96.6587879501057,0.9733813966503169,0.03637896105647087,0.45446313708282926
T3_S43_LSTM,128.11048015329413,52.631554708526465,500.0,-0.4054724944410866,1.5087890625,3.3023051741452214
T3_S57_SARIMA,206.6598564660659,112.62801205805613,500.0,-1.6930073675110013,27.228124608252372,4.879614754708895
T3_S57_XGBoost,38.87705560408317,10.030195892128969,79.59385731733785,0.904695803065886,0.0382988378405571,0.917957930433734
T3_S57_LSTM,158.65103354516836,64.09321638043417,500.0,-0.587124903176335,2.8037109375,3.7460392036221988
