hierarchical_cluster_id,temporal_id,spatial_id,size,pct,center_lat,center_lon,spread_km,peak_hour,avg_distance_km,avg_duration_min,avg_fare,lat_min,lat_max,lon_min,lon_max
T4_S66,4.0,66.0,2150.0,0.14333333333333334,40.74060439886049,-73.98027445948401,0.10109549544129387,0.0,2.127344185865896,9.906,9.582558139534884,40.735958099365234,40.74384307861328,-73.9833984375,-73.97515106201172
T4_S67,4.0,67.0,1190.0,0.07933333333333334,40.758947702616204,-73.99216732377765,0.06538174937018965,0.0,2.5287058835207414,11.050210084033614,10.767815125890138,40.75636672973633,40.76152038574219,-73.99478912353516,-73.99015045166016
T4_S68,4.0,68.0,765.0,0.051,40.71177529229058,-74.00921457328049,0.06944354660425307,0.0,3.242117644778264,12.888322440087144,12.70718954248366,40.7087516784668,40.71432876586914,-74.01168823242188,-74.00650024414062
T4_S69,4.0,69.0,860.0,0.05733333333333333,40.72568867705589,-74.00619330295297,0.07257902053522183,23.0,2.6405581386370023,11.838720930232558,11.398837209302325,40.72278594970703,40.72911834716797,-74.01109313964844,-74.00293731689453
T4_S70,4.0,70.0,798.0,0.0532,40.724546609367046,-73.954244236002,0.2281066137657282,1.0,3.209411021994245,13.133166248955723,12.74436090225564,40.71717834472656,40.738040924072266,-73.96047973632812,-73.94071960449219
T4_S71,4.0,71.0,1481.0,0.09873333333333334,40.72778806100416,-73.98514670733259,0.06382273951806644,0.0,2.7523632691336757,12.539781679045689,11.61546252532073,40.72605895996094,40.729862213134766,-73.98664855957031,-73.98312377929688
T4_S72,4.0,72.0,577.0,0.03846666666666667,40.73064920435332,-73.97701695804166,0.10457288284960027,0.0,2.4321837047925237,11.056181398035818,10.64471403812825,40.72698211669922,40.73685073852539,-73.97932434082031,-73.97183227539062
T4_S73,4.0,73.0,596.0,0.039733333333333336,40.68044812247257,-73.95208969372231,0.8485359942923263,0.0,2.5389932870564844,10.638786353467562,10.526006711409396,40.63116455078125,40.69725799560547,-73.96471405029297,-73.92643737792969
T4_S74,4.0,74.0,896.0,0.05973333333333333,40.72426287191255,-73.97855062144143,0.1411142337850126,1.0,2.7690959814520153,12.186365327380953,11.650669642857142,40.713645935058594,40.72700119018555,-73.98111724853516,-73.97245025634766
T4_S75,4.0,75.0,2387.0,0.15913333333333332,40.720148029814816,-73.98765406710461,0.04536465267495901,2.0,2.956790951889431,13.164544058092446,12.341223292836196,40.7182502746582,40.72163772583008,-73.98912048339844,-73.98611450195312
